drug1,drug2
argatroban,orgaran
zolpidem,zyloprim
sinequan,zonegran
glucotrol,glycotrol
plavix,pradax
nalbuphine,naloxone
cycloserine,cyclosporine
varivax,vzig
seroquel,seroquel xr
doxorubicin,idarubicin
hmg-coa reductase inhibitors,nystatin
opium tincture,paregoric
activase,tnkase
maxzide,microzide
depo-medrol,solu-medrol
carbamazepine,oxcarbazepine
brethine,methergine
metoprolol succinate,metoprolol tartrate
azacitidine,azathioprine
benadryl,benazepril
doribax,zovirax
metadate cd,metadate er
zestril,zetia
effexor xr,enablex
avinza,evista
humapen memoir,humira pen
enbrel,levbid
amaryl,amerge
risperidone,ropinirole
diflucan,diprivan
comvax,recombivax hb
t-pa,tnkase
yasmin,yaz
allegra,allegra anti-itch cream
nicardipine,nifedipine
claritin-d,claritin-d 24
anacin,anacin-3
atrovent,natru-vent
lithium,ultram
saquinavir,saquinavir mesylate
dilacor xr,pilocar
florastor,florinef
sudafed,sudafed pe
leukeran,myleran
darvon,diovan
roxanol,roxicet
aciphex,aricept
ethaverine,etravirine
humalog,humulin
pyridium,pyridoxine
carac,kuric
paxil,taxol
olanzapine,quetiapine
vexol,vosol
lipitor,zyrtec
aggrastat,argatroban
novolin70 30,novologmix 70 30
elavil,eldepryl
fomepizole,omeprazole
depo-provera,depo-subq provera 104
enjuvia,januvia
levetiracetam,levofloxacin
inspra,spiriva
cyclophosphamide,cyclosporine
renagel,renvela
oracea,orencia
lamotrigine,levothyroxine
navane,norvasc
chlordiazepoxide,chlorpromazine
prilosec,pristiq
adalimumab,infliximab
antivert,axert
solu-cortef,solu-medrol
bio-t-gel,t-gel
tegretol,trental
daunorubicin,daunorubicin citrate liposomal
duloxetine,fluoxetine
diprivan,ditropan
hydrocodone,oxycodone
plavix,pradaxa
restoril,risperdal
ms contin,oxycontin
chlorpromazine,chlorpropamide
kaletra,keppra
epirubicin,eribulin
depakote,depakote er
clindesse,clindets
tobradex,tobrex
isordil,plendil
patanol,platinol
ephedrine,epinephrine
flavoxate,fluvoxamine
retrovir,ritonavir
cedax,cidex
acetic acid for irrigation,glacial acetic acid
sandimmune,sandostatin
ethambutol,ethmozine
fluoxetine,paroxetine
ritalin la,ritalin sr
sulfadiazine,sulfasalazine
humulinr u-100,humulinr u-500
zocor,zyrtec
sulfadiazine,sulfisoxazole
zelapar,zyprexazydis
folic acid,folinic acid
claritin,claritin eye
leucovorin calcium,levoleucovorin
humalog,novolog
capadex,kapidex
durasal,durezol
brevibloc,brevital
taxol,taxotere
desipramine,disopyramide
reprexain,zyprexa
lamictal,lamisil
mucinex d,mucinex dm
humalogmix 75 25,humulin70 30
allegra,viagra
apresoline,priscoline
casodex,kapidex
amicar,omacor
hydrea,lyrica
actonel,actos
saquinavir,sinequan
pamelor,tambocor
menactra,menomune
mitomycin,mitoxantrone
levemir,lovenox
cozaar,zocor
sitagliptin,sumatriptan
oxycodone,oxycontin
sonata,soriatane
pentobarbital,phenobarbital
procardia xl,protain xl
tiagabine,tizanidine
tegretol,tequin
lotronex,protonix
desipramine,imipramine
humulin,novolin
probenecid,procanbid
advair,advicor
celexa,cerebyx
lexiva,pexeva
buspirone,risperidone
darvocet,percocet
foradil,toradol
valacyclovir,valganciclovir
ketalar,ketorolac
aripiprazole,rabeprazole
celexa,zyprexa
foradil,fortical
amantadine,amiodarone
femara,femhrt
potassium acetate,sodium acetate
activase,cathflo activase
bayhep-b,bayrho-d
abelcet,amphotericin b
farxiga,fetzima
mucinex,mucomyst
soma,soma compound
asacol,os-cal
heparin,warfarin
neulasta,neumega
zostrix,zovirax
mephyton,methadone
cymbalta,symbyax
precare,precose
babybig,hbig
bicillin c-r,bicillin l-a
pamelor,panlor dc
xanax,zantac
viracept,viramune
k-phos neutral,neutra-phos-k
epinephrine,norepinephrine
roxanol,roxicodone intensol
novolin,novolog
tenex,xanax
dynacin,dynacirc
proscar,provera
paxil,plavix
gentamicin,gentian violet
dexmethylphenidate,methadone
jantoven,januvia
neurontin,noroxin
diovan,zyban
keflex,keppra
heparin,hespan
bidex,videx
propylthiouracil,purinethol
granulex,regranex
lanthanum carbonate,lithium carbonate
pavulon,peptavlon
anzemet,avandamet
silodosin,sirolimus
influenza virus vaccine,perflutren lipid microspheres
neulasta,nuedexta
cardura,coumadin
metadate er,methadone
iodine,lodine
adderall,inderal
razadyne,rozerem
amikin,kineret
methylene blue,visionblue
thalomid,thiamine
duricef,ultracet
zegerid,zestril
leucovorin calcium,leukeran
lariam,levaquin
isotretinoin,tretinoin
sudafed 12 hour,sudafed 12 hour pressure   pain
janumet,sinemet
reserpine,risperdal
hydrogesic,hydroxyzine
topamax,toprol-xl
avinza,invanz
clozaril,colazal
brilinta,brintellix
healon,hyalgan
methadone,methylphenidate
captopril,carvedilol
30 novologmix 70 30,misoprostol mifepristone novolin70
hydromorphone,morphine
levothyroxine,liothyronine
midodrine,midrin
ortho tri-cyclen,ortho tri-cyclen lo
apidra,spiriva
acetazolamide,acetohexamide
provera,prozac
methimazole,metolazone
metadate,methadone
adderall,adderall xr
prograf,prozac
rifampin,rifaximin
capex,kapidex
focalgin b,focalin
benicar,mevacor
engerix-b adult,engerix-b pediatric adolescent
loxitane,soriatane
maalox,maalox total stomach relief
prednisolone,prednisone
tegretol,toradol
mucinex,mucinex allergy
arista ah,arixtra
cefazolin,ceftriaxone
dimenhydrinate,diphenhydramine
fioricet,fiorinal
protamine,protonix
rifamate,rifampin
fanapt,xanax
lanoxin,levothyroxine
lamotrigine,levetiracetam
b   o  belladonna,opium  beano celexa cerebyx
reminyl,robinul
procan sr,procanbid
lantus,lente
lexapro,loxitane
colchicine,cortrosyn
vioxx,zyvox
amaryl,reminyl
cardene,cardizem
clonidine,klonopin
alkeran,myleran
hydralazine,hydroxyzine
micronase,microzide
zerit,zyrtec
carboplatin,cisplatin
novologflexpen,novologmix 70 30 flexpen
zyrtec,zyrtec-d
sarafem,serophene
adacel,daptacel
tromethamine,trophamine
wellbutrin sr,wellbutrin xl
kadian,kapidex
lantus,latuda
doxorubicin,doxorubicin liposomal
atomoxetine,atorvastatin
pemetrexed,pralatrexate
clobazam,clonazepam
tiazac,ziac
denavir,indinavir
motrin,neurontin
zantac,zyrtec
zestril,zyprexa
amiloride,amlodipine
bicitra,polycitra
flumazenil,influenza virus vaccine
bupropion,buspirone
infliximab,rituximab
aricept,azilect
rifadin,rifater
rapaflo,rapamune
vinblastine,vincristine
testoderm,testoderm tts
prilosec,prozac
amiodarone,amiodipine
tolazamide,tolbutamide
normodyne,norpramin
penicillamine,penicillin
sumatriptan,zolmitriptan
lipitor,loniten
tylenol,tylenol pm
nifedipine,nimodipine
cetirizine,stavudine
flonase,flovent
methylprednisolone,prednisone
ado-trastuzumab emtansine,trastuzumab
ritalin,ritodrine
celebrex,cerebyx
codeine,lodine
nexavar,nexium
